User-ID,User-City,User-State,User-Country,User-Age
19,weston, ,,14.0
42,appleton, wisconsin," usa""",17.0
44,black mountain, north carolina," usa""",51.0
51,renton, washington," usa""",34.0
56,cheyenne, wyoming," usa""",24.0
75,long beach, california," usa""",37.0
78,oakland, california," usa""",18.0
85,london, england," united kingdom""",41.0
99,franktown, colorado," usa""",42.0
114,ligonier, pennsylvania," usa""",57.0
125,lansing, michigan," usa""",49.0
129,bloomington, minnesota," usa""",47.0
165,olympia, washington," usa""",62.0
178,rexford, new york," usa""",28.0
185,baton rouge, louisiana," usa""",17.0
202,ottawa, ontario," canada""",28.0
212,manila, n/a," philippines""",21.0
228,ann arbor, michigan," usa""",41.0
232,mumbai, maharashtra," india""",16.0
242,neuffen, baden-wuerttemberg," germany""",37.0
254,minneapolis, minnesota," usa""",24.0
272,walla walla, washington," usa""",20.0
332,lake oswego, oregon," usa""",59.0
334,jyväskylä, n/a," finland""",27.0
337,málaga, n/a," spain""",17.0
339,tampere, pirkanmaa," finland""",20.0
361,premià de dalt, barcelona," spain""",25.0
362,thunder bay, ontario," canada""",63.0
367,culver city, california," usa""",45.0
372,bamberg, bayern," germany""",22.0
387,charity, missouri," usa""",17.0
388,nashville, tennessee," usa""",35.0
408,mountain view, california," usa""",17.0
413,naperville, illinois," usa""",17.0
424,portland, oregon," usa""",29.0
431,ridgway, pennsylvania," usa""",40.0
433,smock, pennsylvania," usa""",48.0
440,brookfield, wisconsin," usa""",16.0
444,sweet home, oregon," usa""",40.0
486,portland, oregon," usa""",31.0
493,manhattan, kansas," usa""",29.0
496,west salem, wisconsin," usa""",51.0
499,la verne, california," usa""",62.0
503,el centro, california," usa""",40.0
505,washington, dc," usa""",51.0
508,portland, oregon," usa""",29.0
512,winter springs, florida," usa""",58.0
523,bozeman, montana," usa""",19.0
565,franklin, tennessee," usa""",48.0
595,hollywood, florida," usa""",17.0
596,san francisco, california," usa""",49.0
620,toronto, ontario," canada""",45.0
625,marseille, provence," france""",41.0
626,graz, steiermark," austria""",41.0
638,san diego, california," usa""",20.0
643,grenoble, rhone-alpes," france""",23.0
651,interlachen, florida," usa""",26.0
677,baton rouge, louisiana," usa""",27.0
683,union, illinois," usa""",28.0
685,stevens point, wisconsin," usa""",21.0
709,roanoke, virginia," usa""",14.0
712,pratteln, baselland," switzerland""",29.0
713,abingdon, n/a," united kingdom""",49.0
726,eatontown, new jersey," usa""",31.0
735,cortland, new york," usa""",29.0
741,novinger, missouri," usa""",16.0
744,ocala, florida," usa""",48.0
746,longmont, colorado," usa""",36.0
757,philadelphia, pennsylvania," usa""",29.0
771,ft. sill, oklahoma," usa""",38.0
774,wentzville, missouri," usa""",16.0
776,auckland, n/a," new zealand""",23.0
777,portland, ,,13.0
786,panhandle, texas," usa""",48.0
805,sonoma, california," usa""",34.0
824,albuquerque, new mexico," usa""",15.0
828,albuquerque, new mexico," usa""",35.0
834,rockville, maryland," usa""",17.0
843,deer lodge, tennessee," usa""",25.0
850,bremen, bremen," germany""",22.0
853,chesterfield, michigan," usa""",24.0
882,berkeley, california," usa""",23.0
883,brookfield, connecticut," usa""",43.0
887,castaic, california," usa""",30.0
896,-, wales," united kingdom""",27.0
899,bielefeld, nordrhein-westfalen," germany""",23.0
900,scranton, pennsylvania," usa""",25.0
901,worcester, worcestershire," united kingdom""",21.0
902,overland, missouri," usa""",18.0
903,los angeles, california," usa""",19.0
913,manchester, lancs," united kingdom""",44.0
915,humble, texas," usa""",50.0
929,king of prussia, ,,36.0
938,calgary, alberta," canada""",55.0
965,las cruces, new mexico," usa""",24.0
969,river forest, illinois," usa""",13.0
999,newark, delaware," usa""",21.0
1009,delano, minnesota," usa""",56.0
1010,silver spring, maryland," usa""",26.0
1025,maidstone, england," united kingdom""",33.0
1031,sparks, maryland," usa""",52.0
1038,dallas, texas," usa""",26.0
1048,oakville, ontario," canada""",22.0
1054,burnsville, minnesota," usa""",37.0
