,ISBN,Favourite-Generation,Book-Rating
3,0002005018,millenial,8.0
9,0002116286,millenial,7.0
14,0002251760,genz,9.666666666666666
22,0002255081,genx,8.0
27,0002550563,millenial,7.0
33,0003300277,millenial,10.0
39,000617616X,millenial,9.0
45,0006176909,millenial,8.333333333333334
50,0006385427,genz,8.0
57,0006471641,millenial,8.0
64,000648302X,genx,8.0
68,0006485200,genz,10.0
76,0006485936,genx,8.0
81,0006492347,millenial,10.0
87,0006497993,millenial,7.0
93,0006514588,millenial,7.0
99,0006543545,millenial,6.0
106,0006551971,genx,9.0
110,0006552390,genz,8.0
119,0006742939,boomer+,10.0
123,0007100922,millenial,7.0
127,0007110928,youth,9.0
135,0007119860,millenial,7.5
141,0007122039,millenial,7.5
147,0007141076,millenial,8.25
151,0007154615,youth,10.0
158,000716226X,genz,6.666666666666667
164,0007170866,genz,10.0
171,0020125305,millenial,7.0
177,0020125607,millenial,7.0
185,0020198817,boomer+,10.0
189,0020198906,millenial,7.6
193,0020199600,youth,9.0
200,0020264763,genz,10.0
207,002026478X,millenial,9.0
213,0020264801,millenial,10.0
218,0020306652,genz,10.0
224,0020360754,genz,8.0
231,002040400X,millenial,8.333333333333334
236,0020418809,genz,10.0
242,0020421907,genz,9.5
248,0020427115,genz,9.5
256,0020427859,genx,10.0
261,0020442009,millenial,9.25
268,0020442106,genx,9.0
270,0020442203,teenager,10.0
278,0020442300,genz,9.0
285,0020442408,millenial,8.4
291,0020442505,millenial,7.8
296,0020442602,genz,9.0
303,0020442807,millenial,10.0
308,0020446500,genz,8.666666666666666
312,0020449313,teenager,10.0
321,0020518501,millenial,9.0
326,0020518609,genz,8.5
334,0020518706,genx,10.0
339,0020519001,millenial,7.142857142857143
345,0020532105,millenial,10.0
350,0020545509,genz,8.0
356,0020633505,genz,8.0
364,0020700105,genx,8.0
369,0020811853,millenial,7.5
374,0020868308,genz,10.0
382,002089130X,genx,10.0
386,002411510X,genz,9.0
395,0024182001,boomer+,10.0
399,0025196359,millenial,9.0
403,002542730X,youth,10.0
411,0026217457,millenial,8.0
416,0028603869,genz,8.5
423,0028603958,millenial,9.0
430,0028604032,genx,10.0
437,0028604199,boomer+,8.5
440,0028604202,genz,9.0
447,0028610105,millenial,10.0
454,0028613228,genx,7.25
458,0030018897,genz,9.0
467,0030085373,boomer+,10.0
471,0030491266,millenial,10.0
475,0030624363,youth,7.0
484,0030632366,genx,8.5
488,0044409494,genz,10.0
494,0048230871,genz,10.0
501,0060000805,millenial,9.0
507,0060000961,millenial,7.5
512,0060001453,genz,8.5
519,0060001801,millenial,10.0
524,0060001941,genz,10.0
532,0060002050,genx,8.0
538,0060002069,genx,7.25
542,0060002077,genz,10.0
549,0060002093,millenial,8.0
555,0060002492,millenial,8.333333333333334
562,006000438X,genx,9.333333333333334
566,0060004533,genz,8.0
575,006000469X,boomer+,8.0
580,0060004746,genx,8.5
585,0060005424,millenial,9.0
591,0060005548,millenial,9.0
596,0060006641,genz,10.0
604,0060007192,genx,10.0
610,0060007575,genx,8.5
614,0060007788,genz,8.333333333333334
620,006000780X,genz,9.0
626,0060008024,genz,10.0
634,0060008032,genx,8.0
641,0060008369,boomer+,9.0
645,0060008725,millenial,8.0
651,0060008776,millenial,8.0
658,0060008865,genx,8.2
664,0060008873,genx,10.0
670,0060009012,genx,7.333333333333333
676,0060009241,genx,8.5
681,006000925X,millenial,7.25
687,006000942X,millenial,8.0
692,0060011572,genz,9.5
700,0060011904,genx,6.666666666666667
707,0060011912,boomer+,10.0
708,0060011939,teenager,8.0
717,006001203X,millenial,8.285714285714286
725,0060012331,boomer+,9.5
730,0060012358,genx,8.333333333333334
735,0060012781,millenial,8.777777777777779
742,0060012811,genx,9.0
748,0060013117,genx,8.333333333333334
751,0060013125,youth,10.0
759,006001315X,millenial,10.0
766,0060014342,genx,5.666666666666667
769,0060080841,youth,9.0
776,0060081597,genz,7.333333333333333
783,006008166X,millenial,7.0
790,0060081961,genx,9.0
796,0060083255,genx,8.0
800,0060083263,genz,8.5
805,0060083298,youth,9.0
814,0060083425,genx,10.0
821,0060083948,boomer+,10.0
826,0060083956,genx,7.333333333333333
832,0060084405,genx,9.0
837,0060084456,millenial,7.5
841,006008460X,youth,10.0
848,0060085444,genz,9.0
854,0060085452,genz,8.833333333333334
861,0060085495,millenial,10.0
867,0060085894,millenial,6.0
872,0060086246,genz,9.0
878,0060086386,genz,7.0
884,0060088877,genz,10.0
891,0060090251,millenial,9.5
897,0060090367,millenial,8.1
903,0060090375,millenial,8.75
909,0060090383,millenial,8.666666666666666
916,0060092130,genx,8.5
921,0060092149,millenial,7.0
928,0060092645,genx,8.0
933,0060092653,millenial,8.0
938,0060092661,genz,9.0
944,0060092963,genz,10.0
950,0060094850,genz,7.0
955,0060096195,youth,9.5
960,0060096209,teenager,8.0
968,0060097469,genz,8.5
974,0060097825,genz,8.0
982,0060097973,genx,8.0
986,0060099453,genz,9.0
993,0060139145,millenial,7.5
998,0060152583,genz,9.0
1006,0060154969,genx,7.666666666666667
1011,0060159383,millenial,8.0
1017,0060159790,millenial,7.666666666666667
1023,0060160713,millenial,7.0
1030,0060161183,genx,7.0
1035,0060161582,millenial,8.5
1038,0060162945,teenager,8.0
1048,0060163704,genx,9.0
1053,0060163747,millenial,10.0
1059,0060163976,millenial,7.0
1065,0060165529,millenial,9.0
1073,0060165979,boomer+,10.0
1077,0060166932,millenial,10.0
1084,0060168013,genx,8.4
1089,006016848X,millenial,7.2631578947368425
1095,0060169281,millenial,7.0
1101,0060169443,millenial,8.0
1109,0060170166,boomer+,9.0
1113,0060170190,millenial,7.0
1121,0060170808,boomer+,10.0
1124,006017143X,genz,10.0
1131,0060171626,millenial,7.5
1137,0060171928,millenial,8.0
1143,0060172096,millenial,8.0
1147,0060172126,youth,8.0
1154,0060172916,genz,10.0
1162,0060173076,genx,6.5
1166,0060173289,genz,8.0
1174,0060173858,genx,6.0
1179,0060174722,millenial,5.0
1184,0060174900,genz,9.0
1192,0060175184,genx,9.0
1196,0060175273,genz,6.0
1201,0060175400,youth,10.0
1209,0060175532,millenial,7.75
1215,0060175605,millenial,8.0
1220,0060175680,genz,8.0
1229,0060175818,boomer+,10.0
1232,0060175869,genz,10.0
1239,0060175907,millenial,8.0
1246,0060175966,genx,8.875
1251,0060176059,millenial,7.0
1259,0060176075,boomer+,9.0
1263,0060176083,millenial,9.0
1270,006017613X,genx,7.333333333333333
1276,0060176148,genx,9.0
1281,0060176156,millenial,8.0
1288,0060176164,genx,8.0
1294,0060176733,genx,10.0
1299,0060176792,millenial,4.0
1304,0060176806,genz,8.0
1310,0060177241,genz,9.0
1317,0060177349,millenial,8.0
1322,0060177500,genz,9.0
1330,0060177721,genx,10.0
1336,006017773X,genx,8.666666666666666
1342,0060177888,genx,10.0
1348,0060179384,genx,6.0
1355,0060179430,boomer+,7.0
1358,0060179457,genz,8.0
1366,0060179791,genx,8.0
1370,0060182172,genz,6.0
1377,0060182563,millenial,8.0
1382,0060182571,genz,8.0
1389,006018311X,millenial,8.5
1396,0060183225,genx,10.0
1401,0060183489,millenial,8.0
1408,0060183772,genx,8.0
1413,0060184957,millenial,7.5
1419,0060184973,millenial,10.0
1425,0060185074,millenial,8.666666666666666
1432,0060185147,genx,9.0
1437,0060185287,millenial,8.0
1441,006018552X,youth,10.0
1448,0060185708,genz,10.0
1456,0060186275,genx,8.0
1461,006018650X,millenial,9.0
1466,0060186526,genz,10.0
1474,0060186976,genx,7.5
1479,0060187263,millenial,7.5
1484,0060187271,genz,9.0
1491,0060187476,millenial,8.0
1499,0060187840,boomer+,10.0
1504,0060188650,genx,8.0
1510,0060188731,genx,7.5
1515,0060188952,millenial,8.0
1519,0060191015,youth,9.0
1525,0060191058,youth,10.0
1535,0060191538,boomer+,9.0
1541,0060191813,boomer+,8.333333333333334
1545,0060191821,millenial,10.0
1552,0060191872,genx,6.666666666666667
1556,0060191929,genz,9.0
1563,0060191988,millenial,7.5
1569,0060192119,millenial,7.5
1574,0060192240,genz,10.0
1580,006019250X,genz,10.0
1588,0060192704,genx,7.666666666666667
1594,0060192895,genx,9.0
1598,0060193395,genz,10.0
1607,0060193611,boomer+,10.0
1610,0060193751,genz,8.0
1618,006019393X,genx,9.0
1623,0060194170,millenial,8.0
1630,006019443X,genx,7.25
1634,0060194448,genz,9.0
1641,0060194790,millenial,6.75
1647,0060194804,millenial,9.0
1655,006019491X,boomer+,9.0
1660,0060194979,genx,9.0
1666,0060194995,genx,10.0
1672,0060195339,genx,9.0
1677,006019538X,millenial,7.666666666666667
1684,006019541X,genx,10.0
1689,0060195444,millenial,9.0
1696,0060195460,genx,6.0
1700,0060195622,genz,10.0
1707,0060195703,millenial,8.0
1713,0060195932,millenial,10.0
1720,0060196092,genx,7.333333333333333
1724,0060196122,genz,8.2
1732,0060196246,genx,9.0
1737,0060197005,millenial,6.0
1743,0060198125,millenial,7.8
1751,0060198133,boomer+,8.25
1755,0060198303,millenial,10.0
1762,0060198338,genx,8.5
1767,0060198346,millenial,7.166666666666667
1774,0060198524,genx,10.0
1780,0060198702,genx,9.0
1786,006019877X,genx,8.0
1792,0060198788,genx,9.0
1798,0060199334,genx,7.0
1803,0060199563,millenial,7.5
1809,006019958X,millenial,8.666666666666666
1817,0060199652,boomer+,9.5
1821,0060229357,millenial,8.666666666666666
1826,0060234814,genz,10.0
1833,0060234970,millenial,8.75
1839,0060245875,millenial,10.0
1845,0060248025,millenial,9.333333333333334
1850,0060254920,genz,10.0
1857,0060256575,millenial,10.0
1862,0060256656,genz,10.0
1868,0060256664,genz,10.0
1872,0060256672,teenager,10.0
1880,0060256737,genz,9.6
1888,0060263857,genx,10.0
1894,0060263954,genx,10.0
1899,0060264160,millenial,7.333333333333333
1904,0060264306,genz,9.0
1911,0060264454,millenial,9.0
1918,0060275103,genx,10.0
1921,0060277475,youth,9.0
1927,0060277491,youth,9.0
1933,0060278234,youth,9.333333333333334
1939,0060278250,youth,9.0
1946,0060280034,genz,10.0
1953,0060280921,millenial,10.0
1957,0060281294,youth,8.0
1964,0060281375,genz,10.0
1973,0060283122,boomer+,9.0
1977,0060283130,millenial,9.0
1981,0060288140,youth,8.0
1987,0060292873,youth,8.0
1994,0060294655,genz,10.0
1999,0060294671,youth,9.5
2004,0060294698,teenager,10.0
2010,006029471X,teenager,7.0
2020,0060294884,genx,10.0
2026,0060391448,genx,8.5
2031,0060391480,millenial,8.2
2038,0060391502,genx,8.0
2043,0060391537,millenial,7.0
2048,0060391553,genz,9.0
2056,0060391626,genx,8.909090909090908
2061,0060391677,millenial,7.333333333333333
2066,0060391782,genz,8.5
2073,0060391839,millenial,9.0
2079,0060391901,millenial,9.0
2085,0060392096,millenial,7.333333333333333
2093,0060392452,boomer+,9.0
2096,0060392584,genz,8.0
2103,0060392827,millenial,7.4
2108,0060392991,genz,8.0
2114,0060393009,genz,9.666666666666666
2119,0060393203,youth,7.0
2126,0060393211,genz,7.5
2133,0060393297,millenial,10.0
2138,0060393823,genz,7.0
2144,006039384X,genz,9.0
2150,0060394447,genz,4.0
2156,0060502258,genz,8.227272727272727
2163,0060502290,millenial,9.0
2170,0060502312,genx,9.0
2177,0060504072,boomer+,10.0
2180,0060504080,genz,8.75
2188,0060504110,genx,8.5
2194,0060505249,genx,9.0
2199,0060505257,millenial,7.0
2205,0060505729,millenial,10.0
2212,0060505885,genx,9.0
2217,0060506067,millenial,9.0
2224,0060506512,genx,9.0
2230,0060506679,genx,8.75
2237,0060506989,boomer+,9.0
2241,0060507365,millenial,8.0
2248,0060507403,genx,9.0
2254,0060507594,genx,10.0
2260,0060507772,genx,8.333333333333334
2264,0060507845,genz,8.666666666666666
2272,0060508108,genx,8.0
2277,0060508116,millenial,9.0
2282,0060508175,genz,8.0
2286,0060508302,teenager,10.0
2295,0060508876,millenial,10.0
2298,006050918X,teenager,9.0
2305,0060509392,youth,9.0
2312,0060509406,genz,9.0
2321,0060509465,boomer+,10.0
2324,0060510323,genz,8.0
2332,0060511508,genx,9.0
2337,0060512377,millenial,8.0
2344,006051261X,genx,10.0
2348,0060512806,genz,8.5
2353,0060512822,youth,10.0
2362,0060513640,genx,8.666666666666666
2364,006051406X,teenager,8.0
2374,0060514558,genx,10.0
2380,0060514930,genx,9.333333333333334
2384,0060514949,genz,7.0
2392,0060514957,genx,9.0
2398,0060516054,genx,7.5
2404,0060516283,genx,9.0
2408,0060517212,genz,10.0
2416,0060517611,genx,9.5
2420,0060517794,genz,8.5
2427,0060519134,millenial,7.444444444444445
2432,0060520507,genz,8.0
2440,0060520612,genx,9.0
2444,0060520841,genz,6.0
2448,0060521848,teenager,9.0
2455,0060523794,youth,8.0
2462,0060525010,genz,10.0
2467,006052510X,youth,9.0
2477,0060525460,boomer+,9.0
2481,0060528370,millenial,8.5
2487,0060529148,millenial,9.333333333333334
2494,0060529709,genx,9.0
2500,006052992X,genx,7.0
2504,0060530421,genz,5.0
2510,0060531231,genz,10.0
2516,0060532149,genz,9.0
2522,0060533986,genz,8.666666666666666
2529,0060534044,millenial,7.0
2536,0060534214,genx,9.0
2541,006053429X,millenial,8.75
2548,0060537957,genx,6.0
2554,0060539550,genx,8.0
2559,0060539860,millenial,10.0
2564,0060540753,genz,10.0
2569,0060542128,youth,10.0
2578,0060542845,genx,7.75
2582,0060548215,genz,10.0
2590,0060548258,genx,9.5
2595,0060548266,millenial,10.0
2599,0060549270,youth,9.0
2608,0060555513,genx,7.333333333333333
2612,0060557257,genz,9.0
2619,0060557540,millenial,7.5
2624,0060557818,genz,10.0
2630,0060558008,genz,8.0
2636,0060558121,genz,10.0
2644,0060558199,genx,9.0
2646,0060558865,teenager,9.0
2656,0060559128,genx,8.5
2662,0060560754,genx,9.0
2667,0060561661,millenial,10.0
2674,0060562080,genx,8.0
2678,0060562250,genz,10.0
2685,0060562773,millenial,7.666666666666667
2690,0060563079,genz,8.2
2698,006056668X,genx,10.0
2701,0060571314,youth,8.0
2709,0060572965,millenial,9.5
2716,0060577487,genx,9.0
2722,0060578955,genx,9.666666666666666
2726,006057898X,genz,6.0
2733,0060580275,millenial,9.0
2740,0060582294,genx,10.0
2746,0060582308,genx,7.666666666666667
2753,0060582553,boomer+,7.0
2758,0060584750,genx,10.0
2764,0060586605,genx,9.5
2769,0060591706,millenial,6.0
2774,0060591838,genz,9.333333333333334
2780,006059537X,genz,9.0
2786,0060609176,genz,10.0
2794,0060633875,genx,9.0
2799,0060652861,millenial,6.5
2806,0060652926,genx,9.25
2809,0060652934,youth,10.0
2817,0060675322,millenial,10.0
2824,0060675357,genx,10.0
2829,0060730552,millenial,10.0
2836,0060735414,genx,10.0
2843,0060738197,boomer+,10.0
2846,0060740450,genz,9.0
2851,0060745908,youth,10.0
2858,0060761555,genz,10.0
2865,0060801263,millenial,9.5
2871,0060805072,millenial,6.0
2877,0060806583,millenial,7.5
2881,0060807792,youth,9.0
2890,0060808551,genx,9.666666666666666
2895,0060809248,millenial,9.0
2901,0060809736,millenial,7.666666666666667
2907,0060809779,millenial,6.5
2913,0060809833,millenial,8.923076923076923
2918,006080985X,genz,8.0
2925,0060812451,millenial,9.0
2931,0060812494,millenial,9.5
2935,0060812540,youth,8.0
2941,0060830956,youth,9.666666666666666
2948,0060901012,genz,8.0
2954,0060907002,genz,8.0
2961,0060907010,millenial,9.0
2966,0060909005,genz,10.0
2974,0060911271,genx,10.0
2978,0060912529,genz,7.5
2985,006091291X,millenial,7.5
2991,0060913061,millenial,7.75
2998,006091307X,genx,8.0
3004,0060913304,genx,8.0
3009,0060913509,millenial,7.0
3016,0060913983,genx,8.5
3022,0060914068,genx,10.0
3026,0060914440,genz,10.0
3031,0060914653,youth,9.0
3040,0060915153,genx,9.0
3045,0060915188,millenial,9.0
3053,0060915544,boomer+,10.0
3057,006091565X,millenial,9.2
3063,0060916087,millenial,9.5
3069,0060916338,millenial,8.0
3075,006091646X,millenial,9.5
3082,0060916486,genx,8.0
3089,0060916508,boomer+,10.0
3093,0060917016,millenial,9.0
3099,0060919655,millenial,10.0
3105,0060919884,millenial,9.0
3108,0060920084,teenager,9.0
3118,0060920114,genx,10.0
3124,0060920432,genx,8.0
3129,0060921056,millenial,9.666666666666666
3136,0060921145,genx,8.555555555555555
3142,0060922249,genx,8.0
3148,0060922532,genx,8.125
3152,0060922583,genz,10.0
3160,0060923245,genx,10.0
3165,006092327X,millenial,8.0
3170,0060923288,genz,10.0
3177,006092411X,millenial,8.0
3184,0060924349,genx,8.0
3189,0060924640,millenial,7.0
3195,0060924799,millenial,10.0
3200,0060924802,genz,10.0
3206,0060924837,genz,9.5
3212,0060924845,genz,10.0
3218,0060924926,genz,9.0
3224,0060924985,genz,9.0
3231,0060925000,millenial,9.666666666666666
3238,0060925493,genx,7.0
3243,0060925744,millenial,8.0
3249,0060925752,millenial,9.5
