,User-ID,User-City,User-State,User-Country,User-Generation,Old-Book-Rating,New-Book-Rating
0,19,weston, ,,teenager,,7.0
1,42,appleton, wisconsin," usa""",youth,,7.0
2,44,black mountain, north carolina," usa""",genx,8.0,
3,51,renton, washington," usa""",millenial,,9.0
4,56,cheyenne, wyoming," usa""",genz,8.0,
5,75,long beach, california," usa""",millenial,5.0,
6,78,oakland, california," usa""",youth,8.0,
7,85,london, england," united kingdom""",millenial,,5.0
8,99,franktown, colorado," usa""",millenial,3.0,8.25
9,114,ligonier, pennsylvania," usa""",genx,7.0,8.285714285714286
10,125,lansing, michigan," usa""",genx,10.0,
11,129,bloomington, minnesota," usa""",genx,,7.0
12,165,olympia, washington," usa""",boomer+,6.5,5.0
13,178,rexford, new york," usa""",genz,,6.0
14,185,baton rouge, louisiana," usa""",youth,10.0,
15,202,ottawa, ontario," canada""",genz,6.0,
16,212,manila, n/a," philippines""",genz,8.0,
17,228,ann arbor, michigan," usa""",millenial,9.0,7.0
18,232,mumbai, maharashtra," india""",teenager,8.0,
19,242,neuffen, baden-wuerttemberg," germany""",millenial,9.0,7.8
20,254,minneapolis, minnesota," usa""",genz,7.909090909090909,8.307692307692308
21,272,walla walla, washington," usa""",genz,,7.0
22,332,lake oswego, oregon," usa""",genx,6.0,
23,334,jyväskylä, n/a," finland""",genz,,8.0
24,337,málaga, n/a," spain""",youth,,9.0
25,339,tampere, pirkanmaa," finland""",genz,,8.0
26,361,premià de dalt, barcelona," spain""",genz,8.0,
27,362,thunder bay, ontario," canada""",boomer+,,7.0
28,367,culver city, california," usa""",genx,,9.0
29,387,charity, missouri," usa""",youth,9.0,10.0
30,388,nashville, tennessee," usa""",millenial,7.0,10.0
31,408,mountain view, california," usa""",youth,,8.5
32,413,naperville, illinois," usa""",youth,7.5,
33,424,portland, oregon," usa""",millenial,6.666666666666667,8.0
34,431,ridgway, pennsylvania," usa""",millenial,4.0,
35,433,smock, pennsylvania," usa""",genx,5.0,
36,440,brookfield, wisconsin," usa""",teenager,,8.5
37,444,sweet home, oregon," usa""",millenial,,7.0
38,486,portland, oregon," usa""",millenial,8.0,7.5
39,493,manhattan, kansas," usa""",millenial,8.0,
40,496,west salem, wisconsin," usa""",genx,8.0,8.0
41,499,la verne, california," usa""",boomer+,,10.0
42,503,el centro, california," usa""",millenial,9.333333333333334,9.6
43,505,washington, dc," usa""",genx,8.0,8.0
