,Book-Title-Length,Book-Author,Book-Publisher,Publication-Era,Favourite-Generation
0,2,Richard Bruce Wright,HarperFlamingo Canada,>=2000,millenial
1,19,Gina Bari Kolata,Farrar Straus Giroux,1980s-1990s,millenial
2,4,Amy Tan,Putnam Pub Group,1980s-1990s,genz
3,2,John Grisham,Dell,1980s-1990s,teenager
4,4,Toni Morrison,Plume,1980s-1990s,millenial
5,15,The Onion,Three Rivers Press,1980s-1990s,teenager
6,9,Celia Brooks Brown,Ryland Peters & Small Ltd,>=2000,millenial
7,2,Rich Shapero,Too Far,>=2000,teenager
8,1,Michael Crichton,Ballantine Books,1980s-1990s,youth
9,1,MICHAEL CRICHTON,Ballantine Books,>=2000,teenager
10,3,ARTHUR PHILLIPS,Random House Trade Paperbacks,>=2000,genx
11,2,Mark Salzman,Alfred A. Knopf,>=2000,genx
12,4,Harper Lee,Little Brown & Company,1980s-1990s,millenial
13,4,LAURA HILLENBRAND,Ballantine Books,>=2000,genz
14,3,Barbara Kingsolver,Harpercollins,1980s-1990s,genx
15,1,Anne Rivers Siddons,HarperTorch,1980s-1990s,millenial
16,1,Dean R. Koontz,Bantam Books,>=2000,genx
17,4,Mary Higgins Clark,Pocket,1980s-1990s,millenial
18,6,Dean Koontz,Bantam Books,>=2000,boomer+
19,3,Patricia Cornwell,Berkley Publishing Group,>=2000,genz
20,3,J.D. Robb,Berkley Publishing Group,>=2000,genx
21,9,Maeve Binchy,Dell,1980s-1990s,millenial
22,12,Tim Lahaye,Tyndale House Publishers,>=2000,youth
23,3,JOHN GRISHAM,Dell,1980s-1990s,youth
24,4,M.D. Bernie S. Siegel,HarperCollins Publishers,1980s-1990s,genx
25,6,Mark Helprin,Avon Books,1980s-1990s,genx
26,2,Larry McMurtry,Pocket,1980s-1990s,millenial
27,7,SUZANNE FISHER STAPLES,Laurel Leaf,1980s-1990s,youth
28,4,SUZANNE FISHER STAPLES,Laurel Leaf,1980s-1990s,genz
29,2,Anne Tyler,Berkley Publishing Group,1980s-1990s,genz
30,4,Amy Tan,Prentice Hall (K-12),1980s-1990s,teenager
31,6,Thomas Hardy,NTC/Contemporary Publishing Company,1980s-1990s,millenial
32,3,Valerie Frankel,Avon Trade,>=2000,genx
33,4,Benjamin Hoff,Penguin Books,1980s-1990s,boomer+
34,1,LAURA HILLENBRAND,Ballantine Books,>=2000,genx
35,9,H. Jackson Brown,Thomas Nelson,1980s-1990s,genx
36,2,Robert A. Heinlein,Ace Books,1980s-1990s,genz
37,10,PHILIP PULLMAN,Laurel Leaf,1980s-1990s,teenager
38,2,MICHAEL ONDAATJE,Knopf,>=2000,genz
39,8,P.J. O'Rourke,Atlantic Monthly Press,1980s-1990s,genz
40,2,Mike Gayle,Hodder & Stoughton General Division,>=2000,genz
41,5,J.D. Salinger,"Little, Brown",1980s-1990s,teenager
42,14,J. R. R. Tolkien,Minotauro,>=2000,genz
43,13,J. R. R. Tolkien,Minotauro,>=2000,genz
44,18,J. R. R. Tolkien,Distribooks,>=2000,genz
45,11,John Berendt,Random House,1980s-1990s,millenial
46,5,Mary Higgins Clark,Pocket,1980s-1990s,teenager
47,2,Jennifer Crusie,St. Martin's Press,>=2000,genx
48,2,Jane Heller,St. Martin's Press,>=2000,millenial
49,8,Michael Rips,Back Bay Books,>=2000,genz
50,19,Robert T. Kiyosaki,Warner Books,>=2000,genx
51,5,Ken Follett,Signet Book,1980s-1990s,boomer+
52,4,LOUIS DE BERNIERES,Vintage,1980s-1990s,millenial
53,7,Mitch Albom,Hyperion,>=2000,youth
54,6,Michael Jan Friedman,Star Trek,1980s-1990s,millenial
55,2,David Morrell,St. Martin's Press,1980s-1990s,genx
56,2,Sandra Brown,Warner Books,>=2000,genx
57,3,James Patterson,Warner Books,>=2000,youth
58,3,Sandra Brown,Warner Books,>=2000,youth
59,3,Stuart Woods,Signet Book,>=2000,millenial
60,2,IRIS JOHANSEN,Bantam Books,>=2000,millenial
61,2,Dan Brown,Pocket Star,>=2000,youth
62,2,Joe Hutsko,Tor Books (Mm),>=2000,millenial
63,6,Anita Shreve,Back Bay Books,>=2000,genz
64,12,Ann Rule,Pocket,>=2000,genz
65,3,Paul Theroux,Harper Mass Market Paperbacks (Mm),1980s-1990s,millenial
66,6,Stephen King,Pocket,>=2000,youth
