,ISBN,User-Generation,Book-Rating
0,0002005018,teenager,0.0
1,0002005018,youth,0.0
2,0002005018,genz,6.0
3,0002005018,millenial,8.0
4,0002005018,genx,7.0
5,0002005018,boomer+,0.0
6,0002116286,teenager,0.0
7,0002116286,youth,0.0
8,0002116286,genz,0.0
9,0002116286,millenial,7.0
10,0002116286,genx,7.0
11,0002116286,boomer+,0.0
12,0002251760,teenager,0.0
13,0002251760,youth,5.0
14,0002251760,genz,9.666666666666666
15,0002251760,millenial,9.0
16,0002251760,genx,0.0
17,0002251760,boomer+,0.0
18,0002255081,teenager,0.0
19,0002255081,youth,0.0
20,0002255081,genz,0.0
21,0002255081,millenial,5.666666666666667
22,0002255081,genx,8.0
23,0002255081,boomer+,0.0
24,0002550563,teenager,0.0
25,0002550563,youth,0.0
26,0002550563,genz,6.0
27,0002550563,millenial,7.0
28,0002550563,genx,0.0
29,0002550563,boomer+,0.0
30,0003300277,teenager,0.0
31,0003300277,youth,0.0
32,0003300277,genz,7.0
33,0003300277,millenial,10.0
34,0003300277,genx,9.0
35,0003300277,boomer+,0.0
36,000617616X,teenager,0.0
37,000617616X,youth,0.0
38,000617616X,genz,6.5
39,000617616X,millenial,9.0
40,000617616X,genx,0.0
41,000617616X,boomer+,0.0
42,0006176909,teenager,0.0
43,0006176909,youth,0.0
44,0006176909,genz,0.0
45,0006176909,millenial,8.333333333333334
46,0006176909,genx,0.0
47,0006176909,boomer+,0.0
48,0006385427,teenager,0.0
49,0006385427,youth,0.0
50,0006385427,genz,8.0
51,0006385427,millenial,8.0
52,0006385427,genx,0.0
53,0006385427,boomer+,0.0
54,0006471641,teenager,0.0
55,0006471641,youth,0.0
56,0006471641,genz,7.0
57,0006471641,millenial,8.0
58,0006471641,genx,0.0
59,0006471641,boomer+,0.0
60,000648302X,teenager,0.0
61,000648302X,youth,0.0
62,000648302X,genz,6.333333333333333
63,000648302X,millenial,3.0
64,000648302X,genx,8.0
65,000648302X,boomer+,0.0
66,0006485200,teenager,0.0
67,0006485200,youth,0.0
68,0006485200,genz,10.0
69,0006485200,millenial,8.0
70,0006485200,genx,8.333333333333334
71,0006485200,boomer+,0.0
72,0006485936,teenager,0.0
73,0006485936,youth,0.0
74,0006485936,genz,0.0
75,0006485936,millenial,0.0
76,0006485936,genx,8.0
77,0006485936,boomer+,0.0
78,0006492347,teenager,0.0
79,0006492347,youth,0.0
80,0006492347,genz,5.0
81,0006492347,millenial,10.0
82,0006492347,genx,0.0
83,0006492347,boomer+,0.0
84,0006497993,teenager,0.0
85,0006497993,youth,0.0
86,0006497993,genz,0.0
87,0006497993,millenial,7.0
88,0006497993,genx,7.0
89,0006497993,boomer+,0.0
90,0006514588,teenager,0.0
91,0006514588,youth,0.0
92,0006514588,genz,5.5
93,0006514588,millenial,7.0
94,0006514588,genx,0.0
95,0006514588,boomer+,0.0
96,0006543545,teenager,0.0
97,0006543545,youth,0.0
98,0006543545,genz,0.0
99,0006543545,millenial,6.0
100,0006543545,genx,0.0
101,0006543545,boomer+,0.0
102,0006551971,teenager,0.0
103,0006551971,youth,0.0
104,0006551971,genz,7.0
105,0006551971,millenial,7.666666666666667
106,0006551971,genx,9.0
107,0006551971,boomer+,0.0
108,0006552390,teenager,0.0
109,0006552390,youth,0.0
110,0006552390,genz,8.0
111,0006552390,millenial,7.5
112,0006552390,genx,0.0
113,0006552390,boomer+,0.0
114,0006742939,teenager,0.0
115,0006742939,youth,0.0
116,0006742939,genz,6.333333333333333
117,0006742939,millenial,7.5
118,0006742939,genx,0.0
119,0006742939,boomer+,10.0
120,0007100922,teenager,0.0
121,0007100922,youth,0.0
122,0007100922,genz,4.0
123,0007100922,millenial,7.0
124,0007100922,genx,0.0
125,0007100922,boomer+,0.0
126,0007110928,teenager,8.0
127,0007110928,youth,9.0
128,0007110928,genz,8.5
129,0007110928,millenial,8.11111111111111
130,0007110928,genx,7.6
131,0007110928,boomer+,0.0
132,0007119860,teenager,0.0
133,0007119860,youth,0.0
134,0007119860,genz,7.0
135,0007119860,millenial,7.5
136,0007119860,genx,0.0
137,0007119860,boomer+,0.0
138,0007122039,teenager,0.0
139,0007122039,youth,5.0
140,0007122039,genz,7.0
141,0007122039,millenial,7.5
142,0007122039,genx,0.0
143,0007122039,boomer+,0.0
144,0007141076,teenager,0.0
145,0007141076,youth,0.0
146,0007141076,genz,2.0
147,0007141076,millenial,8.25
148,0007141076,genx,8.0
149,0007141076,boomer+,0.0
150,0007154615,teenager,0.0
151,0007154615,youth,10.0
152,0007154615,genz,7.0
153,0007154615,millenial,7.5
154,0007154615,genx,9.0
155,0007154615,boomer+,0.0
156,000716226X,teenager,0.0
157,000716226X,youth,0.0
158,000716226X,genz,6.666666666666667
159,000716226X,millenial,4.4
160,000716226X,genx,5.0
161,000716226X,boomer+,0.0
162,0007170866,teenager,0.0
163,0007170866,youth,0.0
164,0007170866,genz,10.0
165,0007170866,millenial,5.666666666666667
166,0007170866,genx,5.333333333333333
167,0007170866,boomer+,0.0
168,0020125305,teenager,0.0
169,0020125305,youth,0.0
170,0020125305,genz,5.0
171,0020125305,millenial,7.0
172,0020125305,genx,5.0
173,0020125305,boomer+,0.0
174,0020125607,teenager,0.0
175,0020125607,youth,0.0
176,0020125607,genz,5.0
177,0020125607,millenial,7.0
178,0020125607,genx,0.0
179,0020125607,boomer+,0.0
180,0020198817,teenager,0.0
